[0.000000] (-) TimerEvent: {}
[0.000097] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000117] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000132] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000146] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000159] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000172] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000185] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000198] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000210] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000223] (-) JobUnselected: {'identifier': 'moveit'}
[0.000236] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000248] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000261] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000273] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000286] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000298] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000310] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000323] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000335] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000348] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000361] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000373] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000385] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000398] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000410] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000422] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000434] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000446] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000459] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000471] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000483] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000496] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000508] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000520] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000532] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000545] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000556] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000569] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000581] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000593] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000605] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000617] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000629] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000641] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000653] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000666] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000678] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000690] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000702] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000714] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000726] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000738] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000750] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000762] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000775] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000787] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000803] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000823] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000836] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000848] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000861] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000873] (-) JobUnselected: {'identifier': 'object_creation'}
[0.000885] (-) JobUnselected: {'identifier': 'object_detection'}
[0.000897] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.000909] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000921] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.000934] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000979] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001012] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.001021] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.001027] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.001032] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.001038] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001043] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001048] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001054] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001059] (-) JobUnselected: {'identifier': 'serial'}
[0.001071] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.001076] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
[0.001081] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config'}
[0.001086] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config2'}
[0.001092] (-) JobUnselected: {'identifier': 'ur5_description_controller'}
[0.001097] (-) JobUnselected: {'identifier': 'ur5_moveit_test'}
[0.001102] (-) EventReactorShutdown: {}
