[0.000000] (-) TimerEvent: {}
[0.000253] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000270] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000279] (-) JobUnselected: {'identifier': 'edit_planning_scene'}
[0.000285] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000291] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000296] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000302] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000307] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000312] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000317] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000323] (-) JobUnselected: {'identifier': 'moveit'}
[0.000328] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000333] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000338] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000343] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000348] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000354] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000359] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000364] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000370] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000377] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000382] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000395] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000401] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000407] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000412] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000417] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000422] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000427] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000433] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000438] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000443] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000448] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000453] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000459] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000464] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000470] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000475] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000480] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000486] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000491] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000497] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000502] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000507] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000512] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000517] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000523] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000528] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000533] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000538] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000544] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000549] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000554] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000559] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000564] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000569] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000575] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000592] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000598] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000603] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000609] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000615] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000621] (-) JobUnselected: {'identifier': 'object_creation'}
[0.000626] (-) JobUnselected: {'identifier': 'object_detection'}
[0.000632] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.000637] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000643] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.000649] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000654] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000660] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.000665] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.000671] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000676] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000682] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000687] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000693] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000698] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.000710] (-) JobUnselected: {'identifier': 'serial'}
[0.000715] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.000721] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
