[0.000000] (-) TimerEvent: {}
[0.000278] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000295] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000302] (-) JobUnselected: {'identifier': 'edit_planning_scene'}
[0.000308] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000314] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000320] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000325] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000331] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000337] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000342] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000348] (-) JobUnselected: {'identifier': 'moveit'}
[0.000353] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000359] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000365] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000370] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000375] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000380] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000385] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000390] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000396] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000401] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000406] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000412] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000418] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000423] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000429] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000434] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000439] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000444] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000449] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000454] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000460] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000465] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000471] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000476] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000481] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000487] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000492] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000498] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000503] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000509] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000514] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000520] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000526] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000531] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000537] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000542] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000548] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000554] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000559] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000565] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000570] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000576] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000581] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000587] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000592] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000598] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000609] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000624] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000630] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000635] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000641] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000647] (-) JobUnselected: {'identifier': 'object_creation'}
[0.000652] (-) JobUnselected: {'identifier': 'object_detection'}
[0.000658] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.000663] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000668] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.000674] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000680] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000686] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.000691] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.000697] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000702] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000707] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000713] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000718] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000723] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.000732] (-) JobUnselected: {'identifier': 'serial'}
[0.000738] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.000743] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
[0.000749] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config'}
[0.000754] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config2'}
[0.000760] (-) JobUnselected: {'identifier': 'ur5_description_controller'}
[0.000766] (-) JobUnselected: {'identifier': 'ur5_moveit_test'}
[0.000868] (-) EventReactorShutdown: {}
