[0.000000] (-) TimerEvent: {}
[0.000192] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000214] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000229] (-) JobUnselected: {'identifier': 'edit_planning_scene'}
[0.000243] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000256] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000269] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000282] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000295] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000307] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000319] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000331] (-) JobUnselected: {'identifier': 'moveit'}
[0.000343] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000356] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000368] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000380] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000392] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000404] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000416] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000428] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000440] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000452] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000464] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000476] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000488] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000500] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000512] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000524] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000536] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000548] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000560] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000572] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000584] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000597] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000609] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000621] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000633] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000645] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000657] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000669] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000704] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000725] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000732] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000738] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000744] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000749] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000755] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000760] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000765] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000771] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000776] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000781] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000786] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000792] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000797] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000802] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000807] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000813] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000826] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000831] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000836] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000841] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000846] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000852] (-) JobUnselected: {'identifier': 'object_creation'}
[0.000857] (-) JobUnselected: {'identifier': 'object_detection'}
[0.000862] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.000867] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.000872] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.000877] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000882] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000887] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.000892] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.000897] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000903] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000908] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000913] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000918] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000923] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.000933] (-) JobUnselected: {'identifier': 'serial'}
[0.000937] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.000943] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
[0.000948] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config'}
[0.000953] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config2'}
[0.000959] (-) JobUnselected: {'identifier': 'ur5_description_controller'}
[0.000964] (-) JobUnselected: {'identifier': 'ur5_moveit_test'}
[0.000970] (-) EventReactorShutdown: {}
