[0.000000] (-) TimerEvent: {}
[0.000380] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000406] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000421] (-) JobUnselected: {'identifier': 'edit_planning_scene'}
[0.000435] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000448] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000461] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000474] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000487] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000499] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000512] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000524] (-) JobUnselected: {'identifier': 'moveit'}
[0.000537] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000549] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000561] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000574] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000586] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000598] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000611] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.000623] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000636] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000648] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000660] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000672] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000684] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000696] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000709] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000721] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000733] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000746] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000758] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000770] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000783] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000795] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000807] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000819] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000831] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000844] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000856] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000868] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000880] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000892] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000904] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000916] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000928] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000940] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000952] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000965] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000977] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000989] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001001] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001013] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001025] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001037] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001050] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001067] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001080] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001093] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001113] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001125] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001137] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001149] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001162] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001174] (-) JobUnselected: {'identifier': 'object_creation'}
[0.001186] (-) JobUnselected: {'identifier': 'object_detection'}
[0.001198] (-) JobUnselected: {'identifier': 'object_detection_pcl'}
[0.001210] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.001222] (-) JobUnselected: {'identifier': 'picknik_accessories'}
[0.001234] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001247] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001259] (-) JobUnselected: {'identifier': 'point_cloud_circle_detector'}
[0.001271] (-) JobUnselected: {'identifier': 'ppf_test_pkg'}
[0.001283] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.001295] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.001307] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.001320] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.001332] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001344] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.001362] (-) JobUnselected: {'identifier': 'serial'}
[0.001374] (-) JobUnselected: {'identifier': 'ur3_camera_moveit_config'}
[0.001387] (-) JobUnselected: {'identifier': 'ur3_description_controller'}
[0.001399] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config'}
[0.001411] (-) JobUnselected: {'identifier': 'ur5_camera_moveit_config2'}
[0.001423] (-) JobUnselected: {'identifier': 'ur5_description_controller'}
[0.001435] (-) JobUnselected: {'identifier': 'ur5_moveit_test'}
[0.001448] (-) EventReactorShutdown: {}
